network_i,topology,aval_i,seed_node,e_w_mult,e_w,i_w,theta,slope,p_ext,N,dt,max_steps,n_edges,n_edges_E,n_edges_I,size,duration_steps,duration_time,peak_active,active_steps,censored
0,hiermod,0,1341,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,350,89,0.89,14,79,False
0,hiermod,1,1626,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,353,103,1.03,11,94,False
0,hiermod,2,1579,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,579,148,1.48,12,138,False
0,hiermod,3,1911,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,349,83,0.8300000000000001,12,76,False
0,hiermod,4,419,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,529,175,1.75,10,159,False
0,hiermod,5,1133,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,585,173,1.73,13,165,False
0,hiermod,6,599,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,4,5,0.05,2,3,False
0,hiermod,7,1988,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,51,30,0.3,6,24,False
0,hiermod,8,1846,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,762,212,2.12,15,199,False
0,hiermod,9,795,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,279,86,0.86,12,76,False
0,hiermod,10,1374,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,551,138,1.3800000000000001,11,132,False
0,hiermod,11,899,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,435,122,1.22,15,112,False
0,hiermod,12,721,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,227,53,0.53,14,51,False
0,hiermod,13,948,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,155,34,0.34,10,32,False
0,hiermod,14,300,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1680,453,4.53,16,424,False
0,hiermod,15,1851,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,81,35,0.35000000000000003,5,29,False
0,hiermod,16,192,0.5,10.70575,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1680,442,4.42,15,414,False
