topology,e_w_mult,e_w,n_networks,n_avalanches,frac_extinct,frac_censored,mean_size_all,median_size_all,p90_size_all,p99_size_all,mean_duration_all,median_duration_all,p90_duration_all,p99_duration_all,mean_size_extinct,mean_duration_extinct,size_tail_n,size_pl_alpha,size_aic_powerlaw,size_aic_exponential,size_aic_lognormal,size_best_tail_model,size_delta_aic_exp_minus_pl,size_delta_aic_lognorm_minus_pl,duration_tail_n,duration_pl_alpha,duration_aic_powerlaw,duration_aic_exponential,duration_aic_lognormal,duration_best_tail_model,duration_delta_aic_exp_minus_pl,duration_delta_aic_lognorm_minus_pl,griffiths_like_avalanche_candidate
er_matched,0.5,10.70575,2,80,0.0625,0.9375,42950.75,30584.5,64219.4,64983.4,946.925,1000.0,1000.0,1000.0,4095.0,150.8,5,,,,,insufficient,,,5,,,,,insufficient,,,False
er_matched,0.75,16.058625,2,80,0.050000000000000044,0.95,71657.8,54882.5,100513.7,102348.25,950.1875,1000.0,1000.0,1000.0,2.0,3.75,2,,,,,insufficient,,,4,,,,,insufficient,,,False
er_matched,1.0,21.4115,2,80,0.03749999999999998,0.9625,71390.2125,53699.0,101454.40000000001,103711.0,962.7125,1000.0,1000.0,1000.0,7.0,5.666666666666667,2,,,,,insufficient,,,3,,,,,insufficient,,,False
er_matched,1.25,26.764375,2,80,0.012499999999999956,0.9875,74209.9875,54400.5,101609.5,102745.14,987.6875,1000.0,1000.0,1000.0,21.0,15.0,1,,,,,insufficient,,,1,,,,,insufficient,,,False
er_matched,1.5,32.11725,2,80,0.050000000000000044,0.95,82600.6,58652.0,123320.4,124908.67,950.1625,1000.0,1000.0,1000.0,1.25,3.25,0,,,,,insufficient,,,4,,,,,insufficient,,,False
hiermod,0.5,10.70575,2,80,0.09999999999999998,0.9,46827.95,28397.0,76524.0,78242.67,915.1875,1000.0,1000.0,1000.0,4265.75,151.875,5,,,,,insufficient,,,8,1.4154660419844554,81.65499455534747,98.15682581356285,87.69767825913748,powerlaw,16.501831258215375,6.042683703790004,False
hiermod,0.75,16.058625,2,80,0.07499999999999996,0.925,78891.8375,62104.5,117636.4,119525.91,925.425,1000.0,1000.0,1000.0,7.333333333333333,5.666666666666667,4,,,,,insufficient,,,6,,,,,insufficient,,,False
hiermod,1.0,21.4115,2,80,0.050000000000000044,0.95,80999.55,62171.5,118683.1,120777.62,950.2,1000.0,1000.0,1000.0,2.0,4.0,1,,,,,insufficient,,,4,,,,,insufficient,,,False
hiermod,1.25,26.764375,2,80,0.025000000000000022,0.975,83913.875,86765.0,119551.1,120019.24,975.0875,1000.0,1000.0,1000.0,1.5,3.5,0,,,,,insufficient,,,2,,,,,insufficient,,,False
hiermod,1.5,32.11725,2,80,0.012499999999999956,0.9875,88014.9,91161.5,123333.1,125177.9,987.5375,1000.0,1000.0,1000.0,1.0,3.0,0,,,,,insufficient,,,1,,,,,insufficient,,,False
