network_i,topology,aval_i,seed_node,e_w_mult,e_w,i_w,theta,slope,p_ext,N,dt,max_steps,n_edges,n_edges_E,n_edges_I,size,duration_steps,duration_time,peak_active,active_steps,censored
0,hiermod,0,1341,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75883,1000,10.0,135,1000,True
0,hiermod,1,1626,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,76885,1000,10.0,116,1000,True
0,hiermod,2,1478,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,73816,1000,10.0,113,1000,True
0,hiermod,3,1951,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,73872,1000,10.0,115,999,True
0,hiermod,4,766,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,77440,1000,10.0,119,1000,True
0,hiermod,5,1949,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,73194,1000,10.0,129,1000,True
0,hiermod,6,1887,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,74853,1000,10.0,116,1000,True
0,hiermod,7,1852,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75025,1000,10.0,114,999,True
0,hiermod,8,211,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75761,1000,10.0,114,1000,True
0,hiermod,9,386,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,76812,1000,10.0,116,998,True
0,hiermod,10,1908,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,69837,1000,10.0,117,1000,True
0,hiermod,11,727,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75699,1000,10.0,120,1000,True
0,hiermod,12,1828,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,74323,1000,10.0,115,1000,True
0,hiermod,13,1561,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,77042,1000,10.0,125,1000,True
0,hiermod,14,1417,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,76166,1000,10.0,112,1000,True
0,hiermod,15,630,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,36,16,0.16,7,13,False
0,hiermod,16,1928,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75674,1000,10.0,116,1000,True
0,hiermod,17,1435,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,74095,1000,10.0,129,999,True
0,hiermod,18,938,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75614,1000,10.0,120,1000,True
0,hiermod,19,275,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,76492,1000,10.0,112,1000,True
0,hiermod,20,844,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,73685,1000,10.0,121,1000,True
0,hiermod,21,884,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75299,1000,10.0,120,1000,True
0,hiermod,22,1334,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,71955,1000,10.0,122,1000,True
0,hiermod,23,194,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75351,1000,10.0,125,998,True
0,hiermod,24,950,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,77681,1000,10.0,121,998,True
0,hiermod,25,689,0.5,10.70575,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,75636,1000,10.0,120,1000,True
