generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,repeat,seed,condition
0,2000,1.0,0.24327538907527924,0.24327538907527924,0.18169492215342234,38.137796589649724,3.728115,3.7281150000000003,0.4962149703253621,1.0,1.0,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
1,1000,2.0,0.7181056141853333,0.7181056141853333,0.19210985199187827,33.0122927955102,3.728115,3.7281150000000003,0.4962149703253621,2.951821871151637,1.0573209736134597,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
2,500,4.0,2.0311694145202637,2.0311694145202637,0.20384694285161825,27.774433337510086,3.728115,3.7281150000000003,0.4962149703253621,8.349259751432307,1.1219187660043182,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,250,8.0,5.49272346496582,5.49272346496582,0.2148219441798354,22.061274298994334,3.728115,3.7281150000000003,0.4962149703253621,22.578212641419924,1.1823222225134105,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
4,125,16.0,14.417922973632812,14.417922973632812,0.22830668787705155,14.970761624423798,3.728115,3.7281150000000003,0.4962149703253621,59.265851052328706,1.2565386262378342,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
5,63,31.746031746031747,34.96708679199219,34.96708679199219,0.24837797305057965,11.349078920383493,3.728115,3.7281150000000003,0.4962149703253621,143.73458377728443,1.3670055833527943,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
6,32,62.5,79.36073303222656,79.36073303222656,0.2622965184302146,5.851409443648966,3.728115,3.7281150000000003,0.4962149703253621,326.21768002873955,1.4436095149028583,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
7,16,125.0,181.7981719970703,181.7981719970703,0.27537066197071325,3.897445190217423,3.728115,3.7281150000000003,0.4962149703253621,747.2937262092493,1.5155660857610074,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
8,8,250.0,405.48724365234375,405.48724365234375,0.27946636212698067,2.3730846472429894,3.728115,3.7281150000000003,0.4962149703253621,1666.7828389614438,1.5381077182278138,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
9,4,500.0,899.5732421875,899.5732421875,0.1992862976645912,,3.728115,3.7281150000000003,0.4962149703253621,3697.7568738329537,1.0968182010959822,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
0,2200,1.0,0.24068625271320343,0.24068625271320343,0.18279857375908712,37.589805952688785,3.871231818181818,3.871231818181818,0.4720921817595716,1.0,1.0,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
1,1100,2.0,0.711269736289978,0.711269736289978,0.19336153192193634,32.462787574722235,3.871231818181818,3.871231818181818,0.4720921817595716,2.95517391737995,1.0577846858738094,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
2,550,4.0,2.009634256362915,2.009634256362915,0.20319962936397296,28.090512113061155,3.871231818181818,3.871231818181818,0.4720921817595716,8.3496013324764,1.1116040195793468,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
3,275,8.0,5.380852222442627,5.380852222442627,0.21578197692460122,24.46973008769561,3.871231818181818,3.871231818181818,0.4720921817595716,22.3562923174276,1.180435779597402,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,2200,1760,440,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12346,add_frac_0.1000_nadd_200
