generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
0,2000,1.0,0.24531878530979156,0.24531878530979156,-0.03183110769778097,2.819124115503793,3.7705,3.7705,0.503869774842667,1.0,1.0,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
1,1000,2.0,0.807766854763031,0.807766854763031,-0.035439911951496914,2.7432005710395644,3.7705,3.7705,0.503869774842667,3.2927231958326106,1.1133735051880562,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
2,500,4.0,2.6279027462005615,2.6279027462005615,-0.039183673266902086,2.657259878532661,3.7705,3.7705,0.503869774842667,10.712195329363032,1.2309867956506484,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
3,250,8.0,8.451939582824707,8.451939582824707,-0.04261489233360388,2.5735636646500275,3.7705,3.7705,0.503869774842667,34.45288371272299,1.33878131852052,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
4,125,16.0,26.693021774291992,26.693021774291992,-0.049583857317496205,2.5073068511886727,3.7705,3.7705,0.503869774842667,108.80953018165208,1.5577169914496198,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
5,63,31.746031746031747,82.95679473876953,82.95679473876953,-0.05568982493289676,2.505272455399314,3.7705,3.7705,0.503869774842667,338.1591614927111,1.7495409038743268,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
6,32,62.5,256.1461181640625,256.1461181640625,-0.048343151585762856,2.3845625777924746,3.7705,3.7705,0.503869774842667,1044.1357674284832,1.5187392171442713,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
7,16,125.0,788.8905639648438,788.8905639648438,-0.04567784773039307,2.252850444826265,3.7705,3.7705,0.503869774842667,3215.7772303031056,1.435006540271214,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
0,2200,1.0,0.23941217362880707,0.23941217362880707,-0.042348282020950076,2.8143968028711552,3.7931818181818184,3.793181818181818,0.5184598536383611,1.0,1.0,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
1,1100,2.0,0.7900384068489075,0.7900384068489075,-0.048086895025122145,2.742397140229651,3.7931818181818184,3.793181818181818,0.5184598536383611,3.2999090851320303,1.1355099364203989,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
2,550,4.0,2.5814151763916016,2.5814151763916016,-0.054976208730308174,2.6809311578879025,3.7931818181818184,3.793181818181818,0.5184598536383611,10.782305416072607,1.2981921841153072,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
3,275,8.0,8.288265228271484,8.288265228271484,-0.06381154869052044,2.618327195995508,3.7931818181818184,3.793181818181818,0.5184598536383611,34.61923052050769,1.5068273291216936,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
