module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_threshold,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
0,64,3.578125,2.29,1.3834377470634522,1.7446800786281087,7.4,30,38,30.13157894736842,131.0,0.0,0.772219116825042,0.10547222685889726,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
1,64,3.509375,2.246,1.4971586422286718,1.7620202021606177,6.600000000000001,36,45,24.955555555555556,123.0,0.0,0.7323440505633416,0.10916236046016667,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
2,64,3.409375,2.182,1.9485574151150897,1.8336948953367296,5.0,49,61,17.885245901639344,106.0,0.0,0.7511142387989679,-0.06430994563631842,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
3,64,5.340625,3.418,2.160387928127724,1.9591346876775906,20.6,19,24,71.20833333333333,364.0,0.0,0.7814221025578265,0.05496672000887909,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
4,64,3.615625,2.314,1.4280770287347948,1.5866906200863657,6.200000000000001,27,34,34.029411764705884,99.0,0.0,0.7457212713936431,-0.0018503739701120209,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
5,64,3.409375,2.182,1.4411370510815409,2.0492609635640022,8.0,42,51,21.392156862745097,77.0,0.0,0.6872620790629576,0.0671769616623287,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
6,64,3.99375,2.556,1.834901632240813,1.5064114536108568,3.0,38,45,28.4,95.0,0.0,0.8065103113627173,-0.08921785944374046,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
7,64,3.3718749999999997,2.158,1.4645941417334702,1.935360987538284,7.200000000000001,37,47,22.95744680851064,92.0,0.0,0.6702941176470588,0.1201185390053791,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
8,64,3.6374999999999997,2.328,1.5557686203288714,1.9704087969108444,10.8,32,40,29.1,110.0,0.0,0.7335719764766044,-0.0355562530604229,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
9,64,3.3656249999999996,2.154,1.4457814495974142,1.7825450050852019,5.0,43,51,21.11764705882353,95.0,0.0,0.735399284862932,-0.14472797973684604,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,0,12345,baseline,5
