mean_pop_count,mean_cell_activity,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,slope,p_ext,seed,T,network_density,e_w,i_w,theta
492.51125,0.246255625,0.99875,0.00125,26484.0348734375,162.739162076734,0.3304272990246084,1.1739587670087226,0.9057543900794116,0.03449853819836608,0.0,1,,,,,,,,,,,,,,,,,,,1.5,1.3770001251951984e-05,0,8.0,0.00852025,21.4115,21.675,7.5
492.97375,0.246486875,1.0,0.0,77955.7630609375,279.20559281815525,0.5663701014874619,1.4725154484115444,0.7584207407117447,0.0009480015839421087,0.0,1,,,,,,,,,,,,,,,,,,,1.5,5.744990565600497e-06,1,8.0,0.00854,21.4115,21.675,7.5
492.9625,0.24648125,1.0,0.0,77954.31359375,279.2029971073914,0.5663777612037241,1.4725305162765023,0.7584153293776338,0.0009460984541619047,0.0,1,,,,,,,,,,,,,,,,,,,1.5,2.3968709947764157e-06,1,8.0,0.00854,21.4115,21.675,7.5
491.87125,0.245935625,1.0,0.0,90600.93967343752,300.9998997897466,0.6119485531828625,1.4906890444154517,0.7165728015678835,-0.04589968162881976,0.0,1,,,,,,,,,,,,,,,,,,,1.5,5.744990565600497e-06,2,8.0,0.00859175,21.4115,21.675,7.5
492.51125,0.246255625,0.99875,0.00125,26484.0348734375,162.739162076734,0.3304272990246084,1.1739587670087226,0.9057543900794116,0.03449853819836608,0.0,1,,,,,,,,,,,,,,,,,,,1.5,2.3968709947764157e-06,0,8.0,0.00852025,21.4115,21.675,7.5
492.96125,0.246480625,1.0,0.0,77955.07974843749,279.2043691428153,0.5663819806177762,1.472537962698989,0.7584126676886564,0.0009464308777735693,0.0,1,,,,,,,,,,,,,,,,,,,1.5,1e-06,1,8.0,0.00854,21.4115,21.675,7.5
492.51125,0.246255625,0.99875,0.00125,26484.0348734375,162.739162076734,0.3304272990246084,1.1739587670087226,0.9057543900794116,0.03449853819836608,0.0,1,,,,,,,,,,,,,,,,,,,1.5,5.744990565600497e-06,0,8.0,0.00852025,21.4115,21.675,7.5
491.87125,0.245935625,1.0,0.0,90600.93967343752,300.9998997897466,0.6119485531828625,1.4906890444154517,0.7165728015678835,-0.04589968162881976,0.0,1,,,,,,,,,,,,,,,,,,,1.5,2.3968709947764157e-06,2,8.0,0.00859175,21.4115,21.675,7.5
491.87125,0.245935625,1.0,0.0,90600.93967343752,300.9998997897466,0.6119485531828625,1.4906890444154517,0.7165728015678835,-0.04589968162881976,0.0,1,,,,,,,,,,,,,,,,,,,1.5,1e-06,2,8.0,0.00859175,21.4115,21.675,7.5
492.51125,0.246255625,0.99875,0.00125,26484.0348734375,162.739162076734,0.3304272990246084,1.1739587670087226,0.9057543900794116,0.03449853819836608,0.0,1,,,,,,,,,,,,,,,,,,,1.5,1e-06,0,8.0,0.00852025,21.4115,21.675,7.5
